census_tract,from,to,ratio_from,ratio_to
17031243200,3789.0,759.0,0.00020216647333952975,4.460820245517904e-05
17031243300,7999.0,2073.0,0.0004267958881612295,0.00012183505097442182
17031243400,10834.0,2357.0,0.0005780605891159845,0.00013852639418558235
17031243500,56282.0,25505.0,0.00300299114607955,0.0014989884105656673
17031250300,1.0,0.0,5.3356155539596136e-08,0.0
17031250500,4.0,0.0,2.1342462215838455e-07,0.0
17031250600,1.0,0.0,5.3356155539596136e-08,0.0
17031251000,1.0,0.0,5.3356155539596136e-08,0.0
17031251100,1.0,0.0,5.3356155539596136e-08,0.0
17031251400,1.0,0.0,5.3356155539596136e-08,0.0
17031251700,1.0,0.0,5.3356155539596136e-08,0.0
17031252101,3.0,0.0,1.600684666187884e-07,0.0
17031252102,1.0,0.0,5.3356155539596136e-08,0.0
17031252201,1.0,0.0,5.3356155539596136e-08,0.0
17031260300,3.0,0.0,1.600684666187884e-07,0.0
17031260500,1.0,0.0,5.3356155539596136e-08,0.0
17031260700,1.0,0.0,5.3356155539596136e-08,0.0
17031260900,1.0,0.0,5.3356155539596136e-08,0.0
17031271200,1.0,0.0,5.3356155539596136e-08,0.0
17031271400,2.0,0.0,1.0671231107919227e-07,0.0
17031271800,1.0,0.0,5.3356155539596136e-08,0.0
17031280100,667222.0,635018.0,0.03560040081144041,0.037321490786143455
17031280400,733.0,161.0,3.911006201052397e-05,9.462345975341009e-06
17031280900,2.0,0.0,1.0671231107919227e-07,0.0
17031281900,1155953.0,1099964.0,0.06167720806446277,0.06464745297155278
17031282700,87.0,5.0,4.6419855319448635e-06,2.9386167625282637e-07
17031282800,63.0,0.0,3.3614377989945567e-06,0.0
17031283100,2677.0,642.0,0.00014283442837949886,3.7731839230862906e-05
17031283200,1452.0,184.0,7.747313784349359e-05,1.081410968610401e-05
17031283800,1538.0,45.0,8.206176721989886e-05,2.6447550862754373e-06
17031290900,2.0,0.0,1.0671231107919227e-07,0.0
17031291200,2.0,0.0,1.0671231107919227e-07,0.0
17031291600,110.0,2.0,5.869177109355575e-06,1.1754467050113054e-07
17031292400,1.0,0.0,5.3356155539596136e-08,0.0
17031300600,5.0,0.0,2.667807776979807e-07,0.0
17031300800,3.0,0.0,1.600684666187884e-07,0.0
17031301100,3.0,0.0,1.600684666187884e-07,0.0
17031301200,1.0,0.0,5.3356155539596136e-08,0.0
17031301600,2.0,0.0,1.0671231107919227e-07,0.0
17031310200,620.0,127.0,3.308081643454961e-05,7.4640865768217895e-06
17031310300,772.0,42.0,4.1190952076568215e-05,2.4684380805237412e-06
17031310400,47.0,3.0,2.5077393103610184e-06,1.763170057516958e-07
17031310500,46.0,1.0,2.4543831548214223e-06,5.877233525056527e-08
17031310600,2995.0,190.0,0.00015980168584109043,1.1166743697607401e-05
17031310700,31.0,0.0,1.6540408217274803e-06,0.0
17031310800,137.0,0.0,7.309793308924671e-06,0.0
17031310900,111.0,1.0,5.9225332648951715e-06,5.877233525056527e-08
17031320100,1423283.0,1618803.0,0.07594090912486301,0.09514083262062081
17031320400,510720.0,495465.0,0.027250055757182538,0.02911963508492132
17031320600,318926.0,287508.0,0.01701666526162124,0.01689751656321952
17031330100,683229.0,454097.0,0.03645447279316273,0.02668834112027594
17031330200,21604.0,2394.0,0.0011527063842774348,0.00014070097058985326
17031340300,4.0,0.0,2.1342462215838455e-07,0.0
17031340400,20.0,1.0,1.0671231107919228e-06,5.877233525056527e-08
17031340500,2853.0,1298.0,0.00015222511175446777,7.628649115523372e-05
17031340600,2485.0,1428.0,0.0001325900465158964,8.392689473780721e-05
17031350100,824.0,1152.0,4.396547216462722e-05,6.77057302086512e-05
17031350400,618.0,8.0,3.297410412347041e-05,4.701786820045222e-07
17031351000,663.0,216.0,3.5375131122752236e-05,1.2694824414122099e-05
17031351100,5.0,1.0,2.667807776979807e-07,5.877233525056527e-08
17031351400,21.0,2.0,1.1204792663315188e-06,1.1754467050113054e-07
17031351500,1.0,0.0,5.3356155539596136e-08,0.0
